Gene,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83,cell_84,cell_85,cell_86,cell_87,cell_88,cell_89,cell_90,cell_91,cell_92,cell_93,cell_94,cell_95,cell_96
TNFRSF6B,14,19,7,1,5,14,11,7,3,17,6,13,3,4,4,14,6,17,15,15,5,3,16,13,7,17,15,11,5,13,5,25,4,4,6,16,5,7,14,3,16,25,17,4,8,20,4,19,10,3,6,16,5,13,6,13,7,10,16,8,11,7,6,14,3,13,4,4,3,1,20,16,5,4,5,5,16,21,16,3,19,22,14,14,14,11,3,5,7,3,2,2,14,2,16,6
TNFRSF11A,8,13,5,7,5,13,14,6,9,14,5,14,3,4,2,15,3,14,11,16,3,8,10,13,6,16,16,13,4,14,3,11,3,5,6,17,10,9,15,4,13,14,19,4,2,13,6,16,16,7,5,15,2,21,4,16,20,22,17,10,25,6,3,16,2,11,3,2,7,4,11,25,5,5,2,4,14,19,17,6,16,19,17,14,20,7,9,4,6,4,5,3,14,4,16,7
FGF18,10,13,6,3,4,21,17,2,5,14,6,8,5,3,3,11,8,20,25,17,7,2,16,11,7,16,25,14,8,15,4,7,12,6,3,19,3,3,16,4,16,15,16,7,4,14,7,10,13,6,2,16,5,19,3,17,13,19,16,22,14,4,5,17,5,13,2,4,6,2,14,11,8,6,4,8,14,16,14,8,14,13,14,13,11,20,2,3,5,5,3,8,16,15,15,7
FGF17,13,14,6,3,3,10,13,5,4,19,1,19,6,6,9,15,8,17,16,11,3,4,17,15,10,25,20,25,3,14,3,14,8,8,6,14,3,6,20,5,16,14,16,4,10,22,6,16,19,9,5,7,5,16,7,14,10,11,16,13,17,3,4,15,6,11,3,1,0,3,14,13,12,7,7,1,16,13,14,2,17,13,21,16,14,8,3,5,4,6,7,7,16,3,11,4
FGF16,13,15,6,5,8,16,21,6,0,16,7,13,9,4,6,16,9,14,17,14,6,4,19,11,3,11,13,14,5,15,1,8,6,7,6,16,3,4,11,5,14,20,17,4,4,19,9,17,16,4,7,20,8,13,3,14,22,13,25,11,14,2,3,16,6,25,9,3,5,4,13,14,2,5,6,4,16,16,17,7,16,14,19,10,14,10,10,7,4,5,7,8,15,5,7,5
IQGAP1,11,11,2,5,4,13,19,3,9,10,4,13,2,4,7,17,6,14,14,17,5,7,16,25,3,7,14,15,7,16,7,10,10,6,5,17,4,6,14,7,14,11,16,9,6,13,9,19,14,5,4,13,4,16,12,16,19,14,11,13,20,5,7,25,1,14,7,4,4,9,21,8,6,7,3,8,15,17,14,7,16,15,16,16,13,22,3,3,4,5,1,2,16,7,20,6
NRP1,13,25,3,4,7,16,16,6,4,16,2,11,7,4,5,14,1,13,20,14,6,9,14,14,7,20,8,16,4,17,3,22,5,3,6,16,5,6,17,6,16,14,16,5,3,13,8,16,14,5,6,14,5,17,3,17,13,15,7,14,11,6,2,11,4,15,9,4,9,9,19,10,7,4,5,7,16,19,14,2,15,11,10,13,21,19,7,6,3,4,5,3,25,5,13,7
SYNGAP1,14,14,7,5,5,17,10,3,4,13,1,13,5,4,4,20,11,21,11,14,2,2,14,15,7,13,10,17,4,14,7,19,1,6,3,16,5,1,14,2,17,17,15,7,3,11,7,14,16,6,6,8,5,19,6,16,13,11,20,15,14,3,5,7,5,16,6,6,5,6,16,22,2,2,6,3,25,16,13,5,16,25,16,16,19,13,6,7,4,5,6,7,11,5,14,6
KSR1,25,17,4,3,8,14,16,10,4,19,7,11,4,6,8,17,8,10,14,19,0,5,16,14,4,10,13,11,5,14,1,11,8,3,6,25,2,6,21,2,15,13,11,4,5,15,4,17,16,5,3,19,2,14,1,16,14,15,8,14,14,6,7,14,2,20,8,4,4,7,13,13,3,3,9,3,20,16,16,5,7,16,17,16,16,13,7,2,5,7,6,6,13,1,22,2
MAP3K14,16,11,4,5,4,17,16,5,6,14,6,15,3,3,9,13,4,16,21,16,4,5,16,14,4,13,13,14,4,14,2,15,2,7,6,20,4,6,10,7,11,16,13,4,5,14,4,15,25,3,6,11,3,16,0,7,25,14,19,17,19,5,4,22,4,17,5,7,7,6,19,14,4,3,5,4,8,16,13,6,14,20,14,16,17,11,3,2,7,4,5,2,10,9,13,5
ARTN,14,17,3,3,5,16,14,5,5,17,6,17,3,4,3,19,4,19,16,16,6,3,11,14,7,11,15,13,5,21,5,25,6,5,4,14,1,3,13,7,20,16,8,2,6,16,5,25,7,3,6,14,3,15,2,13,15,11,13,20,10,5,3,13,4,14,3,4,6,6,14,11,6,7,4,2,22,16,17,6,10,14,16,16,16,14,8,5,8,6,3,1,19,4,13,7
MAP3K6,20,14,5,6,3,15,16,6,3,16,6,14,6,7,8,16,3,16,10,17,5,2,7,14,4,13,11,21,9,19,4,14,5,1,3,8,2,11,16,5,13,13,10,4,2,17,9,11,20,2,8,15,8,16,5,14,16,14,11,11,16,2,2,13,7,13,5,5,9,8,14,25,5,6,6,8,19,25,19,4,22,17,17,16,14,15,5,6,5,4,6,6,13,6,14,5
HGS,14,13,5,7,4,25,16,6,5,15,4,11,5,2,5,16,3,14,13,16,5,6,13,21,5,15,14,16,4,10,10,16,3,3,9,22,4,2,19,7,8,17,19,7,6,20,7,20,14,2,7,25,3,11,5,10,14,14,14,17,16,6,3,13,2,19,7,8,6,2,17,15,1,5,6,6,13,7,14,1,13,14,16,16,16,17,7,6,11,2,2,5,11,3,11,12
MAP3K13,17,21,5,2,7,11,16,5,2,16,6,14,3,4,2,13,7,16,16,14,5,5,14,19,6,11,15,10,2,16,5,17,3,3,1,19,6,1,16,6,10,19,13,4,6,11,6,13,8,8,6,14,8,7,2,22,20,14,15,14,17,3,7,14,2,16,8,8,3,9,16,16,6,3,6,2,11,20,14,6,13,13,15,25,17,14,3,6,9,5,2,3,13,5,25,8
ITGB1BP1,21,16,5,3,4,14,11,2,4,20,3,13,9,3,4,16,8,15,14,16,3,9,19,13,3,16,20,17,7,19,3,14,5,0,8,13,8,7,17,7,13,16,14,7,2,14,9,22,13,7,7,14,1,8,5,11,14,16,15,19,14,5,1,14,3,16,5,4,10,4,25,11,10,6,6,6,11,10,16,8,15,10,7,13,16,17,10,5,5,12,3,1,25,4,17,7
GPR37L1,19,13,6,6,6,8,7,4,4,13,7,21,7,5,8,14,9,16,14,16,7,4,13,16,2,17,11,19,4,16,8,17,11,1,5,14,6,5,16,2,11,17,15,11,7,13,7,19,13,4,13,20,2,10,5,13,14,10,16,16,16,4,7,15,5,17,2,3,2,5,11,14,8,6,4,6,25,22,15,5,11,16,20,14,25,14,6,9,4,4,6,4,14,7,14,3
GPR55,16,16,1,3,3,10,20,2,5,14,7,19,5,9,8,14,7,25,16,15,6,5,13,17,7,14,14,16,3,14,2,14,7,4,12,15,7,5,16,5,13,16,11,5,7,21,7,13,11,3,5,11,3,22,7,14,13,16,17,10,17,4,5,16,4,19,9,4,4,4,7,17,11,3,5,4,14,19,16,4,25,13,13,8,11,14,6,7,10,4,3,7,15,8,20,5
S1PR2,10,17,5,7,2,22,13,3,2,8,2,16,3,6,4,16,8,11,17,16,3,12,11,19,6,20,17,14,8,14,4,14,2,3,5,11,9,7,15,3,14,16,25,6,10,19,6,13,13,7,5,14,2,19,5,15,21,13,14,16,16,5,4,17,3,16,13,5,5,5,20,14,2,5,2,6,15,13,25,5,14,16,14,10,7,13,3,4,7,1,2,5,16,5,11,4
KL,17,14,2,7,12,11,22,6,6,13,8,16,12,7,4,15,7,14,16,20,13,5,11,16,6,14,21,16,4,16,4,16,1,6,5,16,6,8,7,5,14,11,17,3,8,13,7,15,25,2,3,13,4,13,3,15,16,16,17,19,25,6,2,14,8,17,2,3,6,6,10,19,11,2,6,7,20,14,13,2,14,14,19,13,8,10,7,6,4,4,4,2,11,5,14,4
SLC9A3R1,16,17,6,6,2,14,13,6,5,11,4,19,6,2,5,25,5,10,11,14,5,6,14,16,5,13,16,15,7,16,3,16,3,6,5,14,7,7,13,8,16,20,20,4,3,17,7,25,15,2,3,19,3,15,5,17,16,14,14,14,7,5,6,14,9,16,6,2,2,2,19,10,5,7,3,3,14,11,8,6,11,16,13,13,22,13,8,4,1,5,2,3,17,4,21,5
ADIPOQ,14,16,7,3,5,15,13,6,6,13,2,16,6,4,1,11,12,22,7,8,2,7,15,16,1,21,10,16,2,25,3,13,2,7,4,20,3,5,14,10,17,13,11,2,5,19,1,14,16,3,3,16,2,11,9,14,17,16,13,14,20,7,5,14,2,15,5,3,5,5,13,16,3,4,4,5,17,25,10,3,14,17,11,14,19,16,3,0,2,2,6,4,14,8,19,1
MAP4K4,16,15,10,5,6,25,13,1,6,15,7,14,5,5,6,20,3,13,13,22,3,9,17,16,3,16,13,11,4,7,4,17,3,2,6,14,6,5,10,4,20,8,17,5,3,14,6,16,14,10,5,16,7,14,4,11,16,16,19,17,14,5,6,21,4,25,3,5,4,7,11,16,5,8,5,6,14,15,19,11,14,16,14,11,13,19,2,8,5,2,4,4,13,4,10,2
ARHGEF6,17,16,2,4,10,14,14,6,6,11,1,16,5,5,3,13,7,13,14,19,7,4,14,25,4,10,16,7,2,20,3,19,5,5,4,17,7,5,22,6,11,10,14,6,7,14,4,17,20,7,9,13,6,15,6,14,14,16,16,16,8,3,6,19,2,11,7,5,2,7,13,17,2,6,4,7,13,16,13,7,14,15,15,25,11,16,7,6,2,5,4,4,21,8,16,5
RASAL2,16,25,7,3,2,15,15,6,7,25,9,17,6,6,2,14,5,11,8,13,3,6,20,11,4,16,17,20,5,13,4,16,5,4,8,14,8,6,19,4,14,22,14,6,8,16,7,14,11,4,6,16,3,16,4,17,14,15,10,16,10,2,5,16,5,7,6,6,7,5,14,19,3,5,4,3,21,17,13,5,13,16,11,14,13,14,2,3,9,1,4,3,19,4,13,3
HAND2,16,11,7,5,5,16,11,10,4,14,4,16,5,6,3,8,3,13,10,13,5,7,11,7,7,13,19,13,6,14,3,14,8,5,5,14,6,4,13,5,17,19,13,7,4,17,5,20,14,4,2,17,4,17,4,14,16,16,16,15,22,3,4,10,4,20,10,3,6,5,15,16,6,1,8,8,19,14,11,7,21,25,25,15,14,14,5,5,3,6,9,3,16,3,16,3
MAPK8IP1,15,7,3,2,9,17,25,5,3,15,9,16,4,5,6,10,6,14,22,11,5,9,14,20,4,16,16,14,3,8,7,14,5,5,4,13,7,5,13,7,14,13,21,5,2,16,2,11,17,2,4,19,5,14,3,14,17,25,13,16,19,4,6,16,5,13,3,7,3,9,11,14,4,9,4,10,16,20,13,4,19,11,14,16,15,16,4,4,9,6,5,5,10,6,17,2
PSMF1,25,13,8,3,8,20,15,11,11,17,4,16,5,9,5,19,8,11,13,14,4,5,14,14,3,19,14,10,2,22,3,17,4,2,3,19,6,7,13,13,13,11,16,5,4,15,3,17,14,4,11,14,4,11,6,21,16,7,17,11,13,7,2,16,5,8,5,5,3,3,14,16,4,5,7,2,16,14,15,4,10,20,16,14,25,16,10,1,6,2,4,2,13,4,16,8
MAGED1,11,14,3,9,4,11,16,3,6,14,4,25,4,4,4,13,4,25,13,15,2,7,14,8,6,16,16,22,10,19,2,16,7,3,4,16,5,6,14,3,21,13,10,7,7,16,6,14,13,7,6,14,6,14,3,19,15,20,19,7,11,3,5,17,4,10,6,3,5,5,15,17,5,6,5,5,13,17,11,6,16,13,17,20,14,16,3,8,2,5,4,3,16,5,14,6
GDF15,7,8,4,4,3,14,17,6,7,20,2,11,6,3,2,13,9,14,11,11,5,2,13,10,6,14,17,19,8,13,6,16,3,4,6,10,2,4,15,7,19,14,16,6,5,25,5,14,21,2,6,16,5,17,4,16,16,13,16,20,13,6,4,19,5,22,6,4,4,7,16,16,4,0,3,2,16,14,25,4,13,14,14,11,15,15,4,7,5,10,4,2,17,3,14,3
NRG2,20,10,6,4,10,17,14,3,2,11,4,7,4,6,3,11,7,15,13,25,2,5,21,22,7,14,16,13,6,13,6,15,7,6,2,16,3,6,11,6,16,15,13,4,5,11,1,13,19,8,3,17,6,14,4,10,25,14,14,13,14,2,3,16,4,19,6,5,1,5,17,16,6,3,4,3,17,14,14,3,16,8,20,14,16,16,7,2,4,5,7,8,19,2,16,5
GDF3,13,22,3,2,5,14,20,4,4,14,6,20,8,3,2,13,10,16,14,14,1,4,19,19,4,16,16,13,5,11,6,16,4,2,10,13,7,3,25,3,10,11,16,0,8,7,5,21,16,2,5,16,2,14,7,16,11,8,14,14,15,5,3,14,4,13,7,7,6,3,14,15,4,5,6,5,19,13,15,4,17,10,11,17,17,25,5,7,3,8,5,6,16,5,17,2
CARTPT,14,19,2,6,4,14,11,7,5,17,1,13,7,3,7,14,3,17,15,15,5,10,16,13,6,17,15,11,4,13,6,25,5,8,3,16,3,6,14,3,16,25,17,4,7,20,9,19,10,2,5,16,1,13,5,13,7,10,16,8,11,3,3,14,8,13,5,7,7,6,20,16,4,9,11,8,16,21,16,2,19,22,14,14,14,11,4,5,4,10,5,6,14,2,16,4
TRAF4,10,13,7,6,8,21,17,1,6,14,3,8,9,5,6,11,4,20,25,17,4,5,16,11,4,16,25,14,3,15,5,7,1,8,5,19,4,11,16,4,16,15,16,3,2,14,8,10,13,7,2,16,4,19,9,17,13,19,16,22,14,10,3,17,7,13,4,5,4,8,14,11,4,4,4,6,14,16,14,4,14,13,14,13,11,20,1,4,5,2,5,2,16,5,15,5
RAPGEF2,22,11,2,3,2,19,14,5,5,13,3,10,5,3,11,25,7,11,14,14,6,3,13,13,5,15,11,15,2,11,5,20,3,1,3,16,7,4,17,10,17,16,14,3,5,8,8,16,16,6,7,25,4,16,5,19,14,13,16,19,15,3,4,16,3,14,4,4,0,10,17,7,4,4,6,7,16,10,20,4,14,13,14,21,14,13,11,3,3,1,7,6,17,8,16,5
RASSF2,13,15,7,4,3,16,21,3,4,16,7,13,5,4,8,16,5,14,17,14,3,1,19,11,5,11,13,14,2,15,4,8,1,4,7,16,5,3,11,3,14,20,17,8,4,19,2,17,16,10,6,20,6,13,5,14,22,13,25,11,14,7,3,16,10,25,1,4,7,5,13,14,6,7,3,10,16,16,17,9,16,14,19,10,14,10,4,5,6,2,5,4,15,6,7,6
PSMD6,13,25,5,5,7,16,16,4,6,16,8,11,6,6,5,14,1,13,20,14,7,7,14,14,3,20,8,16,6,17,5,22,4,3,3,16,6,4,17,7,16,14,16,7,5,13,5,16,14,8,3,14,9,17,4,17,13,15,7,14,11,2,5,11,1,15,8,6,5,4,19,10,6,6,5,8,16,19,14,1,15,11,10,13,21,19,1,3,5,4,8,8,25,8,13,6
FGF19,14,14,5,8,3,17,10,4,2,13,3,13,6,6,6,20,5,21,11,14,4,4,14,15,2,13,10,17,4,14,4,19,4,4,6,16,5,6,14,6,17,17,15,3,5,11,1,14,16,6,5,8,10,19,2,16,13,11,20,15,14,4,2,7,3,16,6,3,2,6,16,22,5,7,1,7,25,16,13,3,16,25,16,16,19,13,3,4,5,1,9,4,11,7,14,5
SH2D3C,25,17,6,5,9,14,16,8,2,19,6,11,7,4,6,17,9,10,14,19,3,3,16,14,5,10,13,11,3,14,12,11,9,8,8,25,2,3,21,5,15,13,11,0,5,15,6,17,16,3,1,19,3,14,4,16,14,15,8,14,14,8,7,14,5,20,7,3,5,6,13,13,4,1,5,5,20,16,16,5,7,16,17,16,16,13,5,2,5,5,1,9,13,6,22,5
SH2D3A,14,14,2,4,6,14,17,6,7,16,1,25,8,2,7,14,8,16,14,16,6,4,16,20,4,22,13,14,5,17,5,13,5,5,8,11,10,5,19,5,16,21,7,1,2,11,7,16,15,5,5,13,10,16,1,25,15,16,10,15,13,3,4,8,1,11,6,4,4,5,16,11,2,4,2,2,13,17,10,6,20,17,19,14,13,14,3,5,5,2,4,11,14,7,19,3
RANBP9,15,20,6,6,1,16,19,2,1,14,8,14,6,3,6,14,5,13,13,10,4,8,15,11,4,19,11,17,4,14,3,14,1,5,4,7,6,6,16,5,25,19,20,8,10,25,5,16,16,7,3,13,2,17,4,11,11,17,22,16,21,7,4,10,5,14,5,4,2,7,17,13,6,6,7,6,14,16,16,3,13,14,16,14,16,15,4,4,4,4,9,7,8,6,13,3
HIPK3,16,11,5,3,5,17,16,0,6,14,3,15,3,5,5,13,6,16,21,16,4,2,16,14,4,13,13,14,5,14,2,15,6,6,3,20,4,3,10,7,11,16,13,6,6,14,9,15,25,1,12,11,4,16,4,7,25,14,19,17,19,5,5,22,3,17,6,7,6,5,19,14,6,4,6,3,8,16,13,4,14,20,14,16,17,11,2,7,3,3,4,7,10,7,13,4
RASA4,11,14,3,7,3,16,17,9,8,16,7,20,3,7,4,10,2,14,16,19,3,4,20,13,4,14,25,19,4,16,4,15,7,6,3,10,2,1,17,6,14,16,22,6,9,14,4,7,13,6,10,11,8,25,3,8,17,17,13,14,13,5,6,11,5,21,7,6,5,5,16,14,2,6,3,2,13,11,16,3,19,14,16,15,14,16,4,5,8,4,5,5,13,6,15,9
TENM1,17,21,4,6,3,11,16,6,12,16,5,14,5,3,5,13,5,16,16,14,3,9,14,19,6,11,15,10,2,16,0,17,2,8,5,19,2,5,16,8,10,19,13,9,6,11,0,13,8,4,2,14,6,7,4,22,20,14,15,14,17,5,9,14,5,16,4,7,3,5,16,16,5,4,5,8,11,20,14,6,13,13,15,25,17,14,10,3,8,3,9,3,13,6,25,5
RNF41,14,19,4,1,6,7,15,5,2,25,3,17,5,5,4,16,3,17,17,14,3,5,8,16,4,25,16,16,5,13,4,14,6,6,6,13,4,6,14,11,22,16,13,3,6,14,4,14,10,4,9,15,4,20,4,19,11,13,11,14,19,8,7,15,9,10,5,2,7,7,16,17,5,6,3,7,13,13,16,9,11,21,16,11,16,20,1,6,8,11,4,3,14,6,14,8
PSMD14,13,10,8,5,6,13,25,3,4,7,7,14,5,7,5,19,7,16,16,17,8,5,22,16,4,15,14,16,9,17,8,11,5,6,5,11,9,3,16,4,13,14,13,6,0,14,2,10,19,7,6,17,2,14,3,13,17,19,14,21,14,4,4,25,7,13,5,8,1,3,16,20,3,7,10,3,15,8,16,5,14,16,11,20,15,14,5,7,8,5,10,2,11,4,16,5
GDF11,21,16,5,4,5,14,11,4,6,20,2,13,2,5,5,16,4,15,14,16,4,8,19,13,5,16,20,17,5,19,5,14,6,10,3,13,2,7,17,3,13,16,14,5,9,14,8,22,13,6,2,14,13,8,9,11,14,16,15,19,14,3,7,14,6,16,6,3,2,4,25,11,3,2,4,4,11,10,16,4,15,10,7,13,16,17,2,4,1,5,2,8,25,5,17,7
TRIB1,19,13,4,3,7,8,7,3,8,13,9,21,4,10,4,14,7,16,14,16,1,3,13,16,5,17,11,19,2,16,5,17,3,3,4,14,8,6,16,4,11,17,15,3,2,13,3,19,13,9,4,20,4,10,5,13,14,10,16,16,16,3,7,15,3,17,6,8,6,5,11,14,7,3,10,2,25,22,15,5,11,16,20,14,25,14,5,7,10,4,3,4,14,7,14,5
TNIP1,19,16,9,6,4,13,19,3,5,13,4,17,5,4,12,16,8,8,25,13,8,4,25,17,1,14,19,16,5,15,5,10,2,6,3,17,7,7,20,3,15,7,14,7,7,16,4,11,14,3,5,21,3,14,2,16,13,14,14,16,11,6,7,17,2,16,5,4,3,3,22,16,4,5,9,4,11,15,14,7,20,14,13,11,10,16,3,6,8,3,2,7,14,4,13,4
TLR6,16,17,6,2,4,14,13,3,5,11,4,19,4,6,4,25,0,10,11,14,6,4,14,16,3,13,16,15,7,16,5,16,6,5,10,14,6,8,13,5,16,20,20,1,8,17,6,25,15,6,7,19,8,15,2,17,16,14,14,14,7,6,1,14,4,16,3,6,7,4,19,10,5,4,2,8,14,11,8,6,11,16,13,13,22,13,3,2,3,6,6,8,17,9,21,4
CCL26,14,16,5,6,7,15,13,6,6,13,7,16,5,9,7,11,1,22,7,8,3,8,15,16,2,21,10,16,5,25,4,13,7,7,4,20,8,3,14,6,17,13,11,1,7,19,4,14,16,3,5,16,6,11,6,14,17,16,13,14,20,2,5,14,6,15,7,5,4,6,13,16,4,6,4,13,17,25,10,5,14,17,11,14,19,16,6,5,7,10,0,5,14,4,19,2
NOD1,16,15,3,6,2,25,13,2,6,15,5,14,5,4,4,20,3,13,13,22,4,5,17,16,4,16,13,11,2,7,2,17,4,6,8,14,4,3,10,5,20,8,17,2,6,14,3,16,14,5,5,16,4,14,3,11,16,16,19,17,14,5,5,21,8,25,5,3,4,6,11,16,1,4,4,5,14,15,19,3,14,16,14,11,13,19,5,10,4,6,3,6,13,4,10,3
PRMT5,16,25,3,6,5,15,15,2,3,25,5,17,7,13,11,14,3,11,8,13,5,7,20,11,6,16,17,20,7,13,4,16,6,2,3,14,1,6,19,1,14,22,14,3,1,16,6,14,11,4,4,16,6,16,4,17,14,15,10,16,10,5,2,16,4,7,2,6,2,5,14,19,4,3,3,3,21,17,13,8,13,16,11,14,13,14,4,5,3,6,5,5,19,5,13,9
TAB1,16,11,6,5,6,16,11,3,9,14,2,16,1,2,1,8,4,13,10,13,6,6,11,7,6,13,19,13,7,14,8,14,5,7,4,14,3,11,13,4,17,19,13,5,5,17,7,20,14,7,3,17,3,17,4,14,16,16,16,15,22,6,5,10,1,20,5,3,6,7,15,16,2,7,4,5,19,14,11,3,21,25,25,15,14,14,7,7,4,4,6,3,16,4,16,3
ARL6IP5,11,14,4,6,5,11,16,4,6,14,6,25,7,7,2,13,3,25,13,15,6,9,14,8,8,16,16,22,9,19,7,16,2,7,6,16,4,4,14,7,21,13,10,7,6,16,5,14,13,3,7,14,6,14,7,19,15,20,19,7,11,5,3,17,6,10,3,1,5,5,15,17,8,5,2,4,13,17,11,8,16,13,17,20,14,16,3,6,4,2,6,4,16,3,14,9
RGS14,7,8,3,3,7,14,17,7,5,20,7,11,3,7,6,13,5,14,11,11,5,3,13,10,7,14,17,19,10,13,4,16,6,3,5,10,4,10,15,8,19,14,16,5,2,25,5,14,21,7,5,16,12,17,3,16,16,13,16,20,13,1,4,19,3,22,8,4,6,8,16,16,9,5,3,4,16,14,25,8,13,14,14,11,15,15,8,5,4,4,3,6,17,10,14,6
CAMKK2,13,22,1,2,3,14,20,4,3,14,6,20,4,2,6,13,7,16,14,14,9,4,19,19,3,16,16,13,8,11,9,16,3,9,2,13,11,4,25,5,10,11,16,9,8,7,3,21,16,3,3,16,6,14,9,16,11,8,14,14,15,5,5,14,10,13,7,4,4,10,14,15,3,3,5,4,19,13,15,6,17,10,11,17,17,25,2,3,1,3,7,2,16,6,17,8
MAP3K2,14,19,5,3,3,14,11,7,8,17,4,13,4,4,4,14,6,17,15,15,8,3,16,13,1,17,15,11,3,13,5,25,2,9,2,16,1,6,14,6,16,25,17,3,9,20,6,19,10,6,5,16,5,13,3,13,7,10,16,8,11,2,5,14,8,13,2,4,7,4,20,16,5,8,4,5,16,21,16,5,19,22,14,14,14,11,5,8,2,4,2,7,14,4,16,12
HSPH1,22,11,7,8,4,19,14,3,7,13,4,10,6,5,5,25,1,11,14,14,5,6,13,13,2,15,11,15,5,11,8,20,11,6,4,16,5,6,17,4,17,16,14,4,3,8,3,16,16,7,9,25,4,16,6,19,14,13,16,19,15,5,7,16,3,14,5,7,8,6,17,7,6,3,5,3,16,10,20,7,14,13,14,21,14,13,5,12,3,5,5,7,17,5,16,4
FRS3,19,13,6,7,2,16,14,9,6,21,3,22,8,4,6,14,6,14,15,20,1,6,16,14,2,16,7,11,7,25,4,13,6,3,4,14,2,7,14,5,19,17,14,3,5,10,6,13,17,6,4,11,6,10,7,16,8,13,15,13,16,5,5,16,1,15,10,2,4,3,14,20,1,3,6,2,17,16,11,1,16,11,13,19,17,14,9,1,9,2,8,5,16,6,25,2
NPFFR2,11,11,3,4,2,13,19,1,3,10,7,13,3,4,5,17,6,14,14,17,6,6,16,25,5,7,14,15,4,16,7,10,3,4,4,17,4,7,14,3,14,11,16,7,5,13,4,19,14,5,5,13,8,16,5,16,19,14,11,13,20,6,6,25,4,14,3,4,8,8,21,8,2,4,4,5,15,17,14,2,16,15,16,16,13,22,9,7,3,9,5,5,16,2,20,6
GADD45G,13,25,7,6,7,16,16,8,5,16,8,11,2,5,6,14,7,13,20,14,2,3,14,14,3,20,8,16,4,17,6,22,5,6,4,16,4,6,17,3,16,14,16,7,2,13,5,16,14,4,5,14,5,17,9,17,13,15,7,14,11,4,5,11,4,15,5,6,8,2,19,10,3,5,5,6,16,19,14,4,15,11,10,13,21,19,1,2,5,11,9,3,25,5,13,3
EDAR,14,14,6,5,9,17,10,5,6,13,10,13,12,3,3,20,6,21,11,14,1,6,14,15,7,13,10,17,6,14,4,19,3,2,5,16,3,5,14,7,17,17,15,4,4,11,0,14,16,9,2,8,3,19,11,16,13,11,20,15,14,3,8,7,4,16,5,4,8,4,16,22,6,4,3,7,25,16,13,5,16,25,16,16,19,13,2,10,5,5,5,4,11,3,14,6
ERP29,15,15,4,6,5,19,16,0,2,16,4,14,5,5,2,11,8,19,14,13,5,5,16,16,2,14,22,14,0,20,5,13,3,5,4,15,1,2,14,3,16,14,16,4,1,13,2,14,17,2,9,10,7,16,3,16,11,25,13,11,17,5,8,20,7,17,10,8,6,4,10,19,3,5,2,4,11,14,21,6,25,14,13,17,16,13,4,2,2,1,3,5,7,2,8,7
COPS5,11,16,1,2,2,16,13,3,12,17,7,15,7,4,5,14,6,16,17,21,5,3,17,17,6,8,19,20,3,11,7,13,6,8,3,16,2,2,13,3,16,14,25,7,4,14,2,16,16,6,2,22,4,14,3,15,13,14,14,25,14,2,2,13,2,14,4,5,4,6,16,13,3,5,6,5,7,14,19,5,11,15,16,19,10,11,5,5,4,7,2,5,20,2,10,2
DUSP14,25,17,1,4,4,14,16,2,5,19,3,11,3,7,2,17,8,10,14,19,5,6,16,14,3,10,13,11,7,14,8,11,6,5,6,25,11,7,21,7,15,13,11,4,3,15,6,17,16,4,3,19,5,14,7,16,14,15,8,14,14,8,6,14,6,20,6,8,5,6,13,13,5,2,6,4,20,16,16,4,7,16,17,16,16,13,4,6,6,6,8,0,13,7,22,6
MAP4K5,14,14,7,4,3,14,17,5,10,16,3,25,6,2,4,14,7,16,14,16,4,3,16,20,1,22,13,14,3,17,5,13,5,2,3,11,5,5,19,2,16,21,7,3,4,11,8,16,15,6,2,13,9,16,4,25,15,16,10,15,13,1,4,8,5,11,3,8,4,6,16,11,5,8,7,6,13,17,10,6,20,17,19,14,13,14,3,2,9,8,7,3,14,5,19,7
MAP4K1,16,11,6,7,4,17,16,5,9,14,4,15,3,5,8,13,5,16,21,16,1,3,16,14,8,13,13,14,2,14,4,15,3,5,6,20,5,7,10,8,11,16,13,9,6,14,8,15,25,5,6,11,3,16,6,7,25,14,19,17,19,10,5,22,5,17,8,4,5,5,19,14,8,6,1,1,8,16,13,10,14,20,14,16,17,11,5,4,2,6,9,2,10,8,13,4
FZD10,14,17,8,3,7,16,14,2,5,17,7,17,5,5,11,19,7,19,16,16,5,6,11,14,3,11,15,13,4,21,7,25,3,9,5,14,7,6,13,9,20,16,8,6,8,16,4,25,7,7,10,14,3,15,6,13,15,11,13,20,10,7,8,13,8,14,10,7,6,3,14,11,4,8,3,7,22,16,17,4,10,14,16,16,16,14,6,7,6,4,5,5,19,5,13,8
